id,movement_id,product_id,quantity,created_at,updated_at
40,45389,9047,27239,2022-10-06 03:21:34.028424,2025-01-30 03:21:01.383061
41,4006,595,66711,2024-05-01 22:33:06.215428,2025-01-03 18:11:13.808479
42,44539,5764,82512,2023-11-13 20:30:47.946131,2025-01-12 16:00:23.283954
43,25486,6847,19605,2023-11-28 16:12:07.848845,2025-01-04 22:57:41.891647
44,25013,2158,1454,2023-10-31 04:40:07.605080,2025-01-19 20:37:55.551637
45,5638,3881,34050,2021-01-21 21:39:34.964870,2025-01-03 09:20:10.248763
46,19535,244,15691,2020-05-12 15:47:16.601710,2025-01-25 17:09:46.259192
47,37082,1321,70827,2020-09-13 16:53:26.313858,2025-01-09 21:44:36.532848
48,39134,6133,31229,2022-10-27 08:55:54.890185,2025-01-23 14:36:09.368233
49,55092,5277,4266,2020-10-28 11:13:17.366697,2025-01-30 11:33:25.304886
50,25593,2297,52940,2020-12-15 04:47:02.984884,2025-02-01 20:48:56.758202
51,36106,8048,41843,2021-10-16 14:57:15.279769,2025-01-11 03:07:36.163164
52,59292,2549,26825,2022-03-03 00:41:22.763468,2025-01-12 06:41:08.731392
53,54898,1503,19845,2020-01-04 09:56:13.072487,2025-01-23 09:01:13.485626
54,54917,7716,70974,2023-12-29 13:21:02.965585,2025-01-17 00:17:09.044723
55,57675,9655,75277,2022-12-02 04:49:46.267316,2025-01-21 09:37:38.323463
56,41273,713,43613,2022-02-16 06:25:55.670698,2025-01-27 02:28:40.492226
57,36787,6155,87397,2024-12-19 06:23:53.618690,2025-01-19 04:04:37.342730
58,18067,2106,54409,2020-10-25 19:07:38.290930,2025-01-26 23:29:18.120916
59,37437,5251,69394,2020-05-04 22:40:29.609960,2025-01-08 22:38:05.431664
60,43488,6748,4076,2020-02-26 02:46:43.814766,2025-01-03 00:28:05.541537
61,50038,4757,32521,2022-11-18 00:11:37.076777,2025-01-20 01:24:17.238308
62,15608,9634,89433,2024-06-06 05:24:47.099558,2025-01-02 14:10:36.188340
63,49252,3259,58696,2023-09-25 13:42:26.163541,2025-01-20 16:26:33.010146
64,23438,7334,92676,2024-07-06 23:48:00.309707,2025-01-31 08:10:55.885673
65,43019,2335,36847,2020-12-01 00:27:14.283234,2025-01-31 01:44:42.880015
66,27750,849,31456,2023-06-25 07:49:42.466740,2025-01-10 22:41:02.697119
67,47185,6978,26331,2020-08-05 04:47:33.400585,2025-01-23 21:48:35.564691
68,22411,6865,51215,2020-01-13 05:38:15.525500,2025-01-25 17:24:55.907321
69,9931,7164,39871,2022-07-25 20:34:35.717749,2025-01-17 10:18:03.029889
70,17173,6785,78103,2024-07-30 13:13:08.252474,2025-01-15 08:06:50.562173
71,41624,4906,97289,2021-08-16 06:56:24.657927,2025-01-27 19:35:46.878237
72,23909,2053,57063,2024-07-06 10:27:49.408331,2025-01-24 08:23:36.113335
73,57397,7954,66697,2022-06-22 11:08:43.455215,2025-01-25 14:21:08.741402
74,37325,5516,25229,2022-04-20 07:44:30.665492,2025-01-18 19:14:25.956790
75,19383,1886,54489,2020-04-06 06:25:57.900867,2025-01-06 00:33:34.268213
76,45862,4224,70831,2022-11-02 02:31:49.303873,2025-01-11 16:39:48.014033
77,32032,3724,87211,2024-08-01 18:37:49.139252,2025-01-07 16:09:11.885945
78,22733,9430,16251,2021-01-14 21:06:11.013582,2025-01-28 02:05:10.482157
79,32077,4268,79430,2024-03-18 14:01:18.605364,2025-01-03 09:16:27.387825
80,44920,3347,39302,2023-10-04 19:53:36.337228,2025-01-19 15:41:40.649078
81,6562,9965,50290,2023-08-30 18:42:43.468063,2025-01-19 05:18:57.010804
82,10230,8031,23870,2024-08-21 21:54:13.088378,2025-01-14 02:35:32.823991
83,35946,227,38622,2023-06-02 19:00:50.951271,2025-01-16 00:43:51.050584
84,14959,7015,59336,2024-08-27 23:06:02.410001,2025-01-15 18:13:05.698732
85,37733,5967,35020,2020-12-25 03:37:31.641478,2025-01-23 03:52:48.201702
86,50638,3837,53127,2021-02-12 22:56:07.780110,2025-01-15 03:34:20.573517
87,9314,7122,22628,2022-10-10 13:48:48.128003,2025-01-21 17:13:33.866655
88,26510,5792,39702,2021-12-02 18:35:20.173841,2025-01-26 18:12:17.157056
89,55669,791,64375,2022-04-04 10:44:16.312536,2025-01-14 01:26:26.164690
90,4624,2405,31156,2020-11-30 02:29:24.373040,2025-01-08 23:15:45.457013
91,35030,7258,46534,2020-04-03 23:05:56.591792,2025-01-27 08:41:30.583204
92,40510,3202,30029,2023-12-16 02:38:32.117449,2025-01-26 18:03:20.095763
93,6279,1267,9538,2023-06-27 18:19:57.506332,2025-01-14 03:23:34.669367
94,52777,3472,91901,2024-05-20 14:21:21.909332,2025-01-05 14:17:54.884696
95,1649,9110,43035,2021-09-17 05:55:09.212099,2025-01-06 19:31:26.408585
96,21744,34,60044,2024-02-19 05:22:40.047010,2025-01-31 08:54:21.791339
97,53519,2355,47843,2021-01-04 11:31:29.786469,2025-01-10 13:21:26.387667
98,440,6358,55513,2020-07-16 12:38:32.275304,2025-01-22 10:22:52.850576
99,15406,4825,59044,2021-03-30 03:38:47.502604,2025-01-04 13:15:42.261309
100,42791,8134,81637,2021-07-18 17:27:25.839265,2025-01-04 16:20:20.647829
101,43554,816,95663,2020-08-26 16:25:15.593263,2025-01-28 22:47:46.968192
102,46913,2323,36100,2022-08-04 00:00:11.055497,2025-01-19 07:27:15.903546
103,30959,4453,19059,2021-03-03 07:38:29.455992,2025-01-02 05:16:33.437320
104,39861,1008,48164,2021-03-10 19:18:27.322839,2025-02-03 07:41:36.907563
105,52793,5169,86467,2024-03-09 09:56:44.301930,2025-01-02 12:33:02.610798
106,25952,6084,32686,2022-08-24 09:58:32.321104,2025-01-17 17:51:01.241196
107,19339,5673,86591,2023-01-27 19:01:21.597578,2025-01-07 13:40:09.844989
108,45866,3925,44270,2020-05-07 03:33:04.674549,2025-01-14 14:22:25.222161
109,3116,3242,97707,2023-01-23 23:26:32.830308,2025-01-03 10:49:25.910907
110,35834,8092,61003,2021-06-22 16:33:30.450961,2025-01-27 11:26:31.739080
111,30441,4028,55176,2024-09-25 18:14:25.739435,2025-01-31 04:47:07.232659
112,20724,1177,84113,2023-04-08 04:06:07.988954,2025-01-06 14:33:59.751694
113,25937,228,6727,2020-11-27 16:50:50.595067,2025-01-25 04:05:15.042566
114,53781,8860,75035,2023-01-06 00:10:37.535151,2025-01-29 10:05:14.889163
115,33365,5611,96754,2022-03-03 12:00:10.298895,2025-01-01 15:22:57.854465
116,53767,3695,29629,2021-03-08 06:30:01.973664,2025-01-18 18:48:08.510058
117,8022,9704,7601,2020-06-09 23:29:16.668833,2025-01-18 02:17:32.758474
118,19422,3847,8385,2021-08-15 03:07:23.217975,2025-01-24 03:01:06.657576
119,59937,7788,61552,2020-11-28 00:55:39.324835,2025-01-31 00:59:14.765490
120,46262,8547,62211,2021-04-20 16:52:26.356261,2025-01-31 01:04:18.256527
121,11301,9973,84034,2021-09-20 09:51:50.352776,2025-01-31 03:00:47.536579
122,14130,7906,32906,2022-02-22 19:28:47.099701,2025-01-27 22:00:52.793987
123,29106,8460,1943,2020-01-29 21:37:05.786315,2025-02-04 02:12:27.954815
124,5636,3266,22721,2020-01-15 19:30:30.963374,2025-01-01 12:12:28.136368
125,46021,6649,26460,2022-07-17 03:40:30.142293,2025-01-11 11:48:30.386962
126,12043,4228,3982,2020-04-20 20:07:06.658234,2025-01-22 11:27:40.871786
127,26833,2194,45525,2022-06-11 16:16:21.603669,2025-01-26 12:23:56.253558
128,17077,7235,88334,2024-01-01 20:04:30.253833,2025-01-24 21:04:41.409385
129,49514,2716,94125,2021-11-15 02:34:34.256588,2025-01-02 03:51:16.986162
130,36962,3335,3240,2021-05-19 13:51:48.782831,2025-01-07 05:09:32.166662
131,34702,9858,96118,2023-09-10 07:22:45.910907,2025-02-03 15:45:44.432704
132,29292,4582,90644,2020-06-16 05:20:33.198305,2025-02-02 10:52:40.921914
133,46919,981,90185,2024-09-17 17:04:05.462839,2025-01-28 07:02:14.068083
134,6363,2858,85741,2023-11-18 14:58:10.714919,2025-01-21 00:17:10.029237
135,37628,6067,68671,2023-03-09 04:37:11.786336,2025-01-22 10:47:34.023639
136,55779,458,18513,2022-07-02 19:05:37.080484,2025-01-13 16:42:36.052780
137,8577,7756,42975,2023-05-24 20:32:19.892753,2025-01-28 14:10:37.550165
138,9793,2535,87677,2023-01-20 01:42:41.805712,2025-02-01 06:02:00.179490
139,14186,2544,57899,2020-06-14 16:17:44.645526,2025-01-18 19:32:36.679993
140,32119,235,38551,2024-02-23 16:30:08.364625,2025-02-03 16:28:40.164628
141,29334,926,81572,2023-09-10 22:14:15.734997,2025-01-23 08:12:49.621886
142,28433,3508,18050,2024-04-13 19:03:49.301432,2025-01-22 17:43:48.815139
143,40895,7229,64327,2020-06-26 14:59:15.099460,2025-01-19 08:50:41.438011
144,10478,3064,37193,2021-02-25 21:24:25.852484,2025-02-03 15:39:12.728001
145,39168,7531,82059,2022-06-19 19:19:21.769352,2025-01-11 14:15:47.430191
146,54207,6888,8099,2020-12-29 01:23:02.746343,2025-01-08 17:53:07.238675
147,22085,3832,36482,2022-07-07 16:05:57.568914,2025-01-09 05:57:03.440508
148,13996,4616,30178,2021-10-19 16:11:16.480820,2025-01-09 09:15:32.099005
149,10585,6717,51218,2024-09-20 03:29:48.791677,2025-02-03 04:16:49.988682
150,53101,1358,21213,2024-01-08 11:57:17.877132,2025-01-08 16:26:26.701060
151,5276,1894,27601,2024-12-02 16:45:57.808777,2025-01-11 06:46:00.661028
152,6471,6292,76298,2024-09-22 07:40:34.460093,2025-01-08 17:29:28.948646
153,22905,6127,74787,2021-01-24 08:48:20.923767,2025-01-22 21:12:49.897262
154,13485,6132,38668,2025-01-01 02:57:22.293659,2025-01-25 18:06:59.869416
155,34937,10052,25203,2024-01-28 10:50:21.963666,2025-02-03 17:11:39.090707
156,40189,5496,72274,2024-10-25 21:56:40.527824,2025-01-31 03:15:56.467459
157,33606,6843,56462,2024-12-11 16:03:17.404951,2025-01-26 20:49:07.248789
158,39936,7278,24866,2020-11-11 04:03:20.624676,2025-01-01 08:07:13.661024
159,46713,884,49433,2023-04-04 05:29:09.630140,2025-01-13 19:16:48.517829
160,48264,4606,18744,2023-05-11 13:45:51.393872,2025-01-28 06:46:24.745664
161,37897,7332,25355,2021-05-26 16:50:20.885025,2025-01-15 21:43:41.590717
162,29215,664,89488,2021-09-03 07:48:18.349283,2025-02-01 04:51:06.968142
163,23020,5547,55817,2022-11-06 16:53:51.129426,2025-01-14 19:42:25.174567
164,11075,9461,61374,2021-08-07 19:52:47.602291,2025-02-03 06:23:16.223134
165,37831,1171,81549,2022-06-24 08:26:43.996798,2025-01-08 17:17:49.376901
166,22387,7691,94471,2022-04-12 12:28:46.609945,2025-01-12 13:47:47.391166
167,30030,9114,67067,2020-04-27 09:06:31.253175,2025-01-10 00:26:07.959194
168,6750,3603,14167,2023-09-19 23:22:01.001021,2025-01-23 05:01:44.277565
169,52673,1908,55090,2021-06-15 22:07:13.639100,2025-01-21 19:46:40.496486
170,17188,4337,69538,2022-02-08 08:00:33.561563,2025-01-12 03:19:04.209525
171,7614,1039,56985,2024-06-20 10:16:54.928982,2025-02-01 04:21:11.610126
172,40310,2558,12417,2022-08-03 22:48:13.299970,2025-01-27 05:27:53.601725
173,15583,1877,46811,2022-01-25 04:20:19.932214,2025-01-10 11:13:11.964247
174,24880,9298,8479,2022-12-29 16:49:16.150889,2025-01-15 16:32:23.479587
175,22539,9265,42286,2023-11-19 01:41:56.406044,2025-02-01 04:44:29.766923
176,21994,1039,84791,2021-04-25 05:58:03.581445,2025-01-19 23:26:22.774522
177,21238,9073,44944,2021-10-20 08:12:06.723753,2025-01-24 11:42:41.702406
178,58174,9298,30359,2022-07-24 14:47:23.207618,2025-01-02 20:25:37.024145
179,1614,7255,32640,2020-11-26 15:26:11.070182,2025-01-06 18:48:47.021726
180,40167,5267,25122,2023-05-16 10:13:44.981372,2025-02-03 13:31:02.546830
181,12695,8617,78602,2020-09-05 13:52:43.555555,2025-01-02 08:33:53.901326
182,14314,6993,81625,2022-07-05 19:13:10.655915,2025-01-23 07:32:27.704475
183,18968,6255,77229,2021-08-12 21:38:17.196892,2025-01-05 11:56:28.922959
184,48187,1903,17786,2020-08-07 14:11:37.375674,2025-01-27 14:32:01.499297
185,2518,10195,35911,2022-09-16 14:52:37.476005,2025-01-27 18:17:27.359071
186,2173,2871,54425,2021-06-08 05:22:16.101319,2025-01-31 12:08:38.631573
187,21329,2590,17382,2020-06-06 17:58:51.256582,2025-01-01 09:06:28.357538
188,29904,3413,3539,2021-07-28 10:53:48.405361,2025-01-21 04:14:04.332836
189,34709,198,12769,2024-07-09 22:47:19.323854,2025-01-07 04:02:29.939047
190,44356,2088,40836,2021-07-28 11:44:06.899192,2025-01-22 22:34:00.531370
191,11320,4873,720,2023-01-01 18:34:25.089313,2025-01-10 01:41:11.776855
192,29722,5873,67983,2021-01-25 09:05:52.174644,2025-01-21 15:30:03.471093
193,46031,2650,12408,2021-12-21 08:35:40.594887,2025-01-03 06:31:50.272158
194,20373,1931,95974,2020-10-12 18:11:54.596155,2025-01-01 10:59:46.659127
195,17842,2963,65673,2021-03-03 21:31:05.606653,2025-01-10 18:52:11.538440
196,7626,1109,43768,2022-12-05 19:43:49.303244,2025-01-20 15:04:43.689492
197,8653,3911,84185,2022-07-05 08:25:20.588789,2025-01-17 18:49:36.720831
198,23581,1053,74120,2020-01-04 05:27:57.741926,2025-01-27 18:08:18.871800
199,6547,5236,65819,2022-07-24 19:46:50.314472,2025-02-02 03:37:56.708214
200,42671,2931,82923,2021-10-31 23:32:52.341311,2025-02-01 11:33:09.970385
201,2388,4134,88411,2020-08-29 17:02:08.681096,2025-01-27 19:43:57.024048
202,2032,9696,83312,2024-12-07 10:22:51.419214,2025-01-15 06:08:46.019797
203,8430,1692,62115,2022-04-09 09:50:33.004258,2025-01-17 09:11:30.263219
204,30637,1756,8204,2024-01-10 03:04:10.161721,2025-01-06 07:28:23.401508
205,7445,3697,80186,2024-05-21 15:27:16.476289,2025-01-02 15:29:39.477249
206,14668,9918,1221,2024-04-30 23:28:16.089583,2025-01-26 21:25:21.705104
207,9316,8455,28533,2021-08-11 05:27:23.468121,2025-01-20 04:39:44.299840
208,7867,3765,30128,2024-01-20 16:23:47.087967,2025-01-30 03:14:48.097659
209,1564,427,6289,2021-08-22 05:04:12.045468,2025-01-23 18:57:21.899176
210,37975,4043,44131,2020-12-01 08:15:44.384576,2025-02-01 00:21:08.669785
211,2857,7905,27825,2021-05-14 07:58:10.162298,2025-01-14 06:11:58.240163
212,39431,2932,42190,2024-02-10 20:58:06.813998,2025-01-06 15:12:54.047964
213,18562,7094,81497,2024-03-15 08:15:54.722929,2025-01-27 10:15:49.626423
214,433,567,65233,2022-10-22 08:50:29.937861,2025-01-07 12:22:48.592258
215,30699,2186,33005,2023-02-20 09:26:09.261004,2025-01-25 22:53:35.130439
216,15130,3530,14985,2022-07-02 13:26:05.991071,2025-01-19 09:36:11.671357
217,8904,4620,99938,2023-12-24 12:40:56.076143,2025-01-25 05:28:44.996757
218,6513,9271,87216,2021-12-09 00:59:53.980131,2025-01-24 05:52:03.415972
219,52690,6801,42584,2024-07-28 01:19:00.349527,2025-01-17 13:10:55.715565
220,15663,9371,79852,2022-04-01 12:19:23.543958,2025-01-15 15:21:49.160856
221,48964,10209,78897,2020-07-11 02:15:04.222332,2025-01-19 05:50:14.547886
222,40569,5297,90795,2024-04-21 16:37:12.161043,2025-01-30 16:17:08.539459
223,27593,4200,21814,2024-06-02 18:38:32.817472,2025-01-19 22:21:26.783240
224,5726,647,36367,2022-12-04 04:19:50.887868,2025-01-12 09:58:02.717734
225,37088,5303,51483,2024-08-17 15:46:05.425660,2025-01-23 06:31:24.383781
226,689,6221,61647,2021-02-04 20:37:38.407622,2025-01-03 20:07:04.577529
227,35786,1811,62236,2024-02-02 22:27:28.418983,2025-01-05 20:28:56.881915
228,20408,2916,27854,2020-06-03 16:40:35.397665,2025-01-12 11:55:44.555963
229,31146,6049,67888,2022-03-08 10:48:48.188953,2025-01-03 04:17:35.722444
230,17927,2181,29495,2023-11-03 22:55:33.068501,2025-01-31 00:54:42.881677
231,41276,18,31202,2020-05-25 14:10:25.378742,2025-01-29 14:45:06.221996
232,36643,8865,27184,2025-01-16 20:53:42.136189,2025-01-17 17:05:18.310769
233,55543,150,19400,2024-02-21 19:50:15.296521,2025-01-15 22:57:00.420984
234,48849,2559,7690,2024-01-20 00:25:03.319601,2025-01-13 04:50:10.378673
235,39958,3226,61930,2022-03-30 16:44:17.884523,2025-01-08 23:19:05.795233
236,1872,5319,83906,2025-01-24 12:11:20.816277,2025-02-03 23:37:35.625654
237,13913,9150,93664,2023-03-14 06:53:13.195521,2025-01-20 03:39:01.173073
238,27771,6340,95640,2021-08-25 18:43:41.854614,2025-01-27 03:25:53.203532
239,4464,1028,70398,2022-09-08 11:26:57.107051,2025-01-18 09:53:16.246218
240,59311,8308,72251,2020-07-04 17:33:54.211133,2025-01-27 19:57:16.880511
241,43777,5732,74770,2022-04-20 22:50:01.095253,2025-01-16 17:23:30.090341
242,8612,1718,98179,2020-03-10 04:53:36.719392,2025-01-04 05:02:22.216347
243,33253,2320,87402,2020-07-09 11:13:52.068044,2025-01-06 14:43:47.043498
244,31841,2839,73502,2020-06-23 22:06:10.823673,2025-01-21 07:56:06.701629
245,34058,9179,36784,2022-05-12 08:59:15.966884,2025-01-28 20:09:53.549669
246,24317,2520,70761,2024-02-28 10:26:37.356825,2025-01-07 16:41:23.499294
247,52272,438,96265,2020-07-23 01:20:25.156793,2025-01-21 01:19:49.689421
248,56603,110,64349,2021-12-18 14:38:03.850296,2025-01-13 15:35:16.605010
249,19185,8977,17263,2024-03-03 07:20:38.037320,2025-01-09 02:01:30.912064
250,33200,1309,50643,2021-11-05 01:12:12.615717,2025-01-10 01:03:07.587063
251,38436,10198,99864,2022-04-05 03:11:22.539248,2025-01-07 00:21:57.159073
252,44722,6914,13431,2023-04-25 17:23:56.318728,2025-01-21 08:08:56.553069
253,260,2878,14645,2022-07-17 15:50:29.937723,2025-01-14 03:25:22.111440
254,20002,4648,29124,2023-10-24 21:24:05.692371,2025-01-22 05:55:19.894036
255,54300,7803,69785,2020-10-28 02:12:18.704954,2025-01-07 07:30:44.998469
256,58834,6521,28189,2023-07-29 05:37:01.243064,2025-01-27 11:38:27.494510
257,41669,149,31986,2023-11-29 06:27:34.060640,2025-01-18 07:33:42.698875
258,45726,857,42441,2020-04-29 08:14:31.150432,2025-01-28 03:23:46.280174
259,40892,6620,28050,2023-05-07 07:34:59.387816,2025-01-04 05:25:27.217272
260,39961,5366,36655,2024-09-05 18:15:04.410146,2025-01-04 17:34:17.889761
261,2310,1962,20036,2024-11-24 20:21:55.046688,2025-01-07 22:01:36.725978
262,54915,4439,86956,2023-05-21 23:32:33.451793,2025-01-02 22:28:51.868723
263,52528,6278,87061,2023-12-15 18:04:58.200068,2025-01-11 17:13:52.631928
264,21487,7772,75437,2021-04-26 11:40:29.561304,2025-01-08 23:41:18.565457
265,53504,3438,7647,2021-08-18 10:08:39.549167,2025-01-26 21:49:26.493193
266,38502,2225,68625,2024-07-29 02:18:35.277740,2025-02-03 15:52:48.808861
267,25434,6098,1932,2022-01-20 00:17:56.774409,2025-01-04 10:22:20.465882
268,18705,1668,94185,2022-09-01 17:28:50.875821,2025-01-27 14:20:33.602551
269,39665,8224,70657,2020-02-09 01:14:48.555201,2025-02-01 20:13:32.720551
270,30303,901,67331,2023-11-22 23:29:45.287649,2025-01-06 10:58:35.271496
271,31221,8113,19387,2024-11-24 03:27:03.909570,2025-01-15 18:49:15.960639
272,17997,8977,84163,2023-03-14 04:59:42.858069,2025-01-05 00:29:36.194294
273,45929,2738,79383,2024-02-18 16:01:20.405254,2025-01-05 09:24:47.180011
274,52001,7036,65675,2022-07-16 02:24:08.687098,2025-01-14 05:55:07.462298
275,10219,6363,90862,2024-07-24 11:35:45.426859,2025-01-25 04:55:45.390827
276,49602,7220,78767,2020-05-11 10:10:59.965869,2025-01-30 05:04:58.505746
277,48008,5578,22652,2021-07-25 18:04:58.839590,2025-01-04 19:31:30.019858
278,53974,5525,70219,2024-04-09 01:38:12.818131,2025-01-18 05:45:03.415663
279,47782,9428,63172,2020-01-08 18:23:53.390551,2025-01-03 13:27:32.784487
280,54111,7466,34230,2022-08-09 12:06:19.319427,2025-01-02 02:09:33.434075
281,58315,1250,542,2022-12-09 07:55:22.057189,2025-01-11 22:48:07.449880
282,3178,5258,79375,2024-10-03 11:18:24.849179,2025-01-11 22:20:48.623273
283,33015,4627,33276,2021-06-08 01:46:46.087654,2025-01-04 22:04:30.094545
284,23910,823,46229,2023-01-10 07:54:31.387078,2025-01-26 14:11:52.882458
285,56851,6378,29373,2021-09-11 15:56:19.924448,2025-01-09 14:35:29.707113
286,49061,4365,1879,2021-08-03 22:20:51.842421,2025-01-27 19:14:18.804708
287,39161,1582,42112,2022-08-30 18:51:12.278604,2025-02-01 22:58:46.265447
288,43457,8272,98973,2021-09-17 20:51:58.394779,2025-01-29 15:21:13.113838
289,11470,8620,99760,2023-08-10 20:33:32.450027,2025-01-04 20:03:23.720569
290,12253,87,59136,2020-06-21 15:06:59.878662,2025-01-22 22:03:34.623468
291,46764,2578,60039,2020-04-22 05:19:24.396487,2025-01-28 00:45:32.019248
292,27210,6737,34194,2024-10-24 07:04:21.424398,2025-01-05 09:55:58.351255
293,29765,1323,33588,2020-07-14 19:43:18.446142,2025-01-14 00:08:54.117462
294,40846,7732,17895,2022-03-17 01:20:59.649893,2025-02-02 14:44:59.880419
295,52221,4888,88382,2021-09-19 22:28:14.760228,2025-01-16 20:19:28.743574
296,22146,10274,6402,2022-08-08 14:35:35.912272,2025-01-30 09:07:59.907173
297,30158,4797,88526,2021-10-26 08:24:27.244953,2025-01-13 22:47:22.420185
298,32298,852,89636,2021-11-04 08:42:27.456536,2025-01-07 15:47:03.715026
299,572,6617,99955,2023-07-19 17:15:43.553221,2025-01-23 06:01:39.603359
300,6571,8915,65795,2024-10-01 06:42:36.483766,2025-01-22 10:47:19.884018
301,51519,6389,39657,2023-02-07 05:23:03.841812,2025-01-04 00:08:44.470091
302,15617,7656,68217,2022-03-22 15:02:19.974463,2025-01-16 08:50:51.224306
303,35507,2629,979,2022-06-01 15:08:45.090119,2025-01-10 14:04:50.374294
304,41169,3924,934,2021-09-28 02:34:45.449402,2025-01-04 18:41:38.264104
305,2790,7050,81340,2021-07-31 22:05:47.322785,2025-01-18 20:40:30.541770
306,49325,7521,4608,2021-11-20 12:36:10.282109,2025-02-03 22:34:39.702519
307,7929,4882,40547,2023-04-19 01:52:09.686441,2025-01-03 22:47:21.523909
308,7798,9504,59934,2020-04-12 13:35:55.468780,2025-01-29 07:04:37.692758
309,28025,9149,76868,2020-11-07 05:45:57.747080,2025-01-31 04:29:08.401760
310,46069,2729,2143,2023-03-20 03:58:20.934757,2025-01-08 03:56:35.105924
311,25390,80,53882,2021-02-17 15:46:31.354559,2025-01-31 01:05:03.487375
312,21758,2589,43501,2021-11-22 05:08:48.124850,2025-01-12 04:36:37.072781
313,8883,9745,82282,2023-10-11 20:31:08.516492,2025-01-09 19:45:09.253151
314,48220,6540,96886,2021-10-09 10:43:24.617523,2025-01-26 07:13:22.174879
315,1365,5697,1407,2022-03-02 15:48:08.001246,2025-01-14 09:26:36.926150
316,43795,5277,13915,2021-09-21 21:37:09.895447,2025-01-12 05:10:36.671536
317,32165,5474,41062,2020-07-23 03:14:17.931325,2025-01-24 23:11:48.587012
318,40275,2009,94058,2024-10-29 05:53:51.019507,2025-01-11 11:00:27.112793
319,40189,3117,59238,2023-03-29 19:46:36.585555,2025-01-01 14:13:48.432848
320,1519,6987,11220,2023-11-26 23:10:28.235627,2025-01-27 07:44:19.993145
321,13389,8337,58656,2021-08-23 21:14:16.453407,2025-01-03 20:21:03.412260
322,8823,370,73562,2022-08-05 12:57:30.876205,2025-01-28 20:03:07.055318
323,9540,2127,38594,2020-01-07 09:29:33.229697,2025-01-01 00:41:11.882840
324,45951,9888,48943,2023-08-01 03:01:39.950503,2025-01-27 20:24:36.652826
325,28182,1167,88269,2024-07-31 06:28:41.220139,2025-02-01 03:58:09.308177
